Grafica,Precio,Enlace
Gtx 460 1gb,"4,000",https://articulo.mercadolibre.com.mx/MLM-808609177-gtx-460-1gb-_JM#position=34&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Tarjeta De Video Gtx 770 2gb Gddr5,"4,000",https://articulo.mercadolibre.com.mx/MLM-1348439030-tarjeta-de-video-gtx-770-2gb-gddr5-_JM#position=35&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Tarjeta Gráfica Nvidia Quadro Nvs 450,"4,000",https://articulo.mercadolibre.com.mx/MLM-1351183708-tarjeta-grafica-nvidia-quadro-nvs-450-_JM#position=36&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Gtx 770 Windforce 4gb Oc + Nzxt Kraken X41,"4,000",https://articulo.mercadolibre.com.mx/MLM-1359921097-gtx-770-windforce-4gb-oc-nzxt-kraken-x41-_JM#position=37&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Tarjeta De Video R9 270 2gb Gddr5,"4,000",https://articulo.mercadolibre.com.mx/MLM-1362178456-tarjeta-de-video-r9-270-2gb-gddr5-_JM#position=38&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Asus Gtx 680 2gb Nvidia Geforce  Gtx680-2gd5,"4,200",https://articulo.mercadolibre.com.mx/MLM-1330720783-asus-gtx-680-2gb-nvidia-geforce-gtx680-2gd5-_JM#position=39&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Tarjeta De Video Gigabyte Amd Radeon R9 285 2gb Mejor A 1050,"4,200",https://articulo.mercadolibre.com.mx/MLM-1340676222-tarjeta-de-video-gigabyte-amd-radeon-r9-285-2gb-mejor-a-1050-_JM#position=40&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Gigabyte R9 270x 4g,"4,250",https://articulo.mercadolibre.com.mx/MLM-1357767521-gigabyte-r9-270x-4g-_JM#position=41&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Nvidia Quadro Fx5800 Pcie X16 4gb,"4,299",https://articulo.mercadolibre.com.mx/MLM-674352517-nvidia-quadro-fx5800-pcie-x16-4gb-_JM#position=42&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Nvidia Quadro M2000 4 Gb Gddr5 Tarjeta De Video,"4,300",https://articulo.mercadolibre.com.mx/MLM-1343247688-nvidia-quadro-m2000-4-gb-gddr5-tarjeta-de-video-_JM#position=43&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
Tarjeta Gráfica Amd Radeon Hd 7850 Ghost Series Oc/gtx 1050,"4,400",https://articulo.mercadolibre.com.mx/MLM-1356665652-tarjeta-grafica-amd-radeon-hd-7850-ghost-series-ocgtx-1050-_JM#position=44&search_layout=stack&type=item&tracking_id=7f269f42-a6a5-479b-9754-f45db60bcd9f
